label,ZCR,SC,RMSE,Chroma,Spectogram
0,0.06494140625,1578.8441035648939,0.0002664469,0.9087986,1.485587e-07
0,0.26513671875,5583.063834126272,0.024850778,0.31366083,0.014690902
0,0.017578125,920.7355780223643,0.040652588,0.08210938,0.23024449
0,0.01708984375,1247.9867201058837,0.03810922,0.6785907,0.026932046
0,0.14111328125,4650.260828569792,0.014677613,0.7975113,0.00056232075
0,0.06005859375,2088.6525747048518,0.0010976293,0.7926534,0.00014432764
0,0.03662109375,2127.6374785817247,0.0010863127,0.37687573,0.00016534902
0,0.037109375,1277.0056698654307,0.067444384,0.09076339,0.043234296
0,0.03857421875,2158.4898409939474,0.006844359,0.6352253,5.2583844e-05
0,0.0146484375,867.5133778547811,0.021453181,0.14874989,0.07971608
0,0.05224609375,1978.7010754772346,0.029854245,0.23481825,0.014820279
0,0.013671875,1558.9814928707472,0.061676133,0.13778634,0.017886337
0,0.03271484375,1782.6708746005866,0.0016330632,1.0,1.46657985e-05
0,0.02587890625,1592.1792899949035,0.036306348,0.93552583,0.009185624
0,0.0322265625,1633.3524600601438,0.07249083,1.0,0.014025269
0,0.03515625,1676.8368963933126,0.08940433,0.10016923,0.3447375
0,0.033203125,1462.2073222116233,0.057388857,0.26736656,0.010843808
0,0.18896484375,4345.529636180238,0.005722909,0.2543198,0.047500905
0,0.0234375,1382.631436747724,0.038306106,1.0,0.07766129
0,0.02783203125,1188.2205194195674,0.0136083085,1.0,0.051853612
0,0.04443359375,1670.6917572181096,0.062296506,0.30997688,0.01736805
0,0.02392578125,1151.1729352261236,0.05821124,0.10629945,0.070280276
0,0.046875,1919.8357719492901,0.0008361993,0.84036106,3.4150773e-05
0,0.0693359375,3274.1219413886483,0.037168425,0.7061571,0.000509616
0,0.03662109375,1427.5845226999547,0.0026675868,0.19097158,0.00030816882
0,0.0361328125,1599.5511308906664,0.04741158,0.038167294,0.0045257197
0,0.0390625,1584.8905655889537,0.044834893,0.12763827,0.0032922896
0,0.0341796875,1474.7662311520517,0.037636332,0.4400003,0.021267723
0,0.0361328125,1427.3969793460785,0.0050404156,0.3368348,0.00021760727
0,0.19091796875,5391.905593392385,0.0029667474,0.59132934,0.042865023
0,0.0166015625,1946.4908959771387,0.02288972,0.047834795,0.026633414
0,0.01708984375,1363.4032659327145,0.010728605,1.0,0.019915033
0,0.06005859375,2031.1207610496901,0.010134453,0.5571878,0.06458696
0,0.033203125,1640.5997181400232,0.044915922,0.2182081,0.004690641
0,0.0302734375,1379.0086319607117,0.027187282,0.63005126,0.0010060584
0,0.02099609375,978.0733579451327,0.037518013,0.22547583,0.00038764635
0,0.01708984375,1269.9984949724362,0.031912934,0.023022553,0.007384672
0,0.0302734375,1264.448717245803,0.019732848,0.33842948,0.16928434
0,0.0205078125,1152.4193748956513,0.020259056,0.27179128,0.039996617
0,0.03955078125,1793.6737103654252,0.006186732,0.028084578,0.04129282
0,0.02294921875,1208.3577906900919,0.0031158451,0.6614032,1.5583239e-05
0,0.03076171875,1504.2935834672967,0.084950216,0.42834207,0.0076380367
0,0.03759765625,2054.907118493437,0.03197512,0.17224716,0.08969558
0,0.01123046875,779.8028424541025,0.061356764,0.10519886,0.2649133
0,0.02685546875,1300.0083547357895,0.011399098,0.4428919,0.016560055
